experiment,baseline,path_kind,observation_source,policy_rules,iterations,avg_latency_ms,p95_latency_ms,provider_plaintext_data_visible,provider_plaintext_dek_visible,provider_recovery_gate_linked,data_layer_control
baseline_comparison,saga_contact_only,modeled_contact_baseline,contact_policy_decision,10,50,0.0057,0.0047,False,False,,False
policy_scalability,presaga_policy_only,policy_microbenchmark,data_policy_decision,10,50,0.006,0.0136,False,False,,True
baseline_comparison,plaintext_token_server,modeled_plaintext_baseline,active_server_decryption,10,50,0.3599,0.4956,True,True,False,True
baseline_comparison,presaga,provider_service,provider_transform_audit,10,50,1.6436,2.0665,False,False,True,True
baseline_comparison,saga_contact_only,modeled_contact_baseline,contact_policy_decision,100,50,0.0021,0.002,False,False,,False
policy_scalability,presaga_policy_only,policy_microbenchmark,data_policy_decision,100,50,0.019,0.023,False,False,,True
baseline_comparison,plaintext_token_server,modeled_plaintext_baseline,active_server_decryption,100,50,0.3123,0.4396,True,True,False,True
baseline_comparison,presaga,provider_service,provider_transform_audit,100,50,1.7707,2.4674,False,False,True,True
baseline_comparison,saga_contact_only,modeled_contact_baseline,contact_policy_decision,1000,50,0.0019,0.0019,False,False,,False
policy_scalability,presaga_policy_only,policy_microbenchmark,data_policy_decision,1000,50,0.1931,0.2978,False,False,,True
baseline_comparison,plaintext_token_server,modeled_plaintext_baseline,active_server_decryption,1000,50,0.4637,0.5685,True,True,False,True
baseline_comparison,presaga,provider_service,provider_transform_audit,1000,50,1.7242,2.1989,False,False,True,True
