experiment,baseline,policy_rules,iterations,avg_latency_ms,p95_latency_ms,provider_plaintext_data_visible,provider_plaintext_dek_visible,data_layer_control
baseline_comparison,saga_contact_only,10,50,0.0024,0.0024,False,False,False
policy_scalability,presaga_policy_only,10,50,0.0034,0.0033,False,False,True
baseline_comparison,plaintext_token_server,10,50,0.0195,0.0297,True,True,True
baseline_comparison,presaga,10,50,0.1549,0.3276,False,False,True
baseline_comparison,saga_contact_only,100,50,0.0021,0.0024,False,False,False
policy_scalability,presaga_policy_only,100,50,0.0188,0.0234,False,False,True
baseline_comparison,plaintext_token_server,100,50,0.0316,0.0326,True,True,True
baseline_comparison,presaga,100,50,0.1273,0.135,False,False,True
baseline_comparison,saga_contact_only,1000,50,0.0024,0.0023,False,False,False
policy_scalability,presaga_policy_only,1000,50,0.2897,0.4487,False,False,True
baseline_comparison,plaintext_token_server,1000,50,0.2779,0.4513,True,True,True
baseline_comparison,presaga,1000,50,0.4795,0.6724,False,False,True
